Código;Ação
A1DM34;ARCHER DANIE
A1LB34;ALBEMARLE CO
A1MD34;ADVANCED MIC
A1MT34;APPLIED MATE
A1ZN34;ASTRAZENECA
AALL34;AMERICAN AIR
AALR3;ALLIAR
AAPL34;APPLE
ABBV34;ABBVIE
ABCB4;ABC BRASIL
ABEV3;AMBEV S/A
ADBE34;ADOBE INC
AESB3;AES BRASIL
AFHI11;FII AFHI CRI
AGRO3;BRASILAGRO
AGXY3;AGROGALAXY
AIEC11;FII AUTONOMY
AIRB34;AIRBNB
AJFI11;FII AJ MALLS
ALLD3;ALLIED
ALOS3;ALLOS
ALPA3;ALPARGATAS
ALPA4;ALPARGATAS
ALPK3;ESTAPAR
ALUP11;ALUPAR
ALZR11;FII ALIANZA
AMAR3;LOJAS MARISA
AMBP3;AMBIPAR
AMZO34;AMAZON
ANIM3;ANIMA
APER3;ALPER S.A.
ARML3;ARMAC
ARMT34;ARCELOR
ARRI11;FII ATRIO
ARZZ3;AREZZO CO
ASAI3;ASSAI
ASML34;ASML HOLD
ATTB34;ATT INC
AURE3;AUREN
AVGO34;BROADCOM INC
AVLL3;ALPHAVILLE
AXPB34;AMERICAN EXP
AZEV4;AZEVEDO
AZUL4;AZUL
B1IL34;BILIBILI INC
B1NT34;BIONTECH SE
B1PP34;BP PLC
B1SA34;BANCO SANTAN
B1TI34;BRITISH AMER
B2HI34;BILL HOLD
B2YN34;BEYOND MEAT
B3SA3;B3
BABA34;ALIBABAGR
BAHI3;BAHEMA
BARI11;FII BARIGUI
BBAS3;BRASIL
BBDC3;BRADESCO
BBDC4;BRADESCO
BBSE3;BBSEGURIDADE
BCFF11;FII BC FFII
BCIA11;FII BCIA
BCRI11;FII BEES CRI
BCSA34;SANTANDER
BEEF3;MINERVA
BERK34;BERKSHIRE
BGIP3;BANESE
BGIP4;BANESE
BIDU34;BAIDU INC
BIOM3;BIOMM
BKNG34;BOOKING
BLAK34;BLACKROCK
BLAU3;BLAU
BLMG11;FII BLUE LOG
BMEB3;MERCANTIL
BMEB4;MERCANTIL
BMGB4;BANCO BMG
BMOB3;BEMOBI TECH
BOAC34;BANK AMERICA
BPAC11;BTGP BANCO
BPAN4;BANCO PAN
BPFF11;FII ABSOLUTO
BRAP3;BRADESPAR
BRAP4;BRADESPAR
BRBI11;BR PARTNERS
BRCO11;FII BRESCO
BRCR11;FII BC FUND
BRFS3;BRF SA
BRIT3;BRISANET
BRKM3;BRASKEM
BRKM5;BRASKEM
BROF11;FII BROF
BRSR3;BANRISUL
BRSR6;BANRISUL
BTAL11;FII BTG AGRO
BTCI11;FII BTG CRI
BTLG11;FII BTLG
BTRA11;FII BTG TAGR
C1CL34;CARNIVAL COR
C2OI34;COINBASEGLOB
C2RW34;CROWDSTRIKE
CACR11;CARTESIA FII
CAML3;CAMIL
CASH3;MELIUZ
CATP34;CATERPILLAR
CBAV3;CBA
CCRO3;CCR SA
CEAB3;CEA MODAS
CEDO3;CEDRO
CEDO4;CEDRO
CGRA3;GRAZZIOTIN
CGRA4;GRAZZIOTIN
CHCM34;CHARTER COMM
CHVX34;CHEVRON
CIEL3;CIELO
CLIN11;FII CLAVE IN
CLSA3;CLEARSALE
CLSC3;CELESC
CLSC4;CELESC
CMCS34;COMCAST
CMIG3;CEMIG
CMIG4;CEMIG
CMIN3;CSNMINERACAO
COCA34;COCA COLA
COGN3;COGNA ON
COLG34;COLGATE
COPH34;COPHILLIPS
COWC34;COSTCO
CPFE3;CPFL ENERGIA
CPFF11;FII CAP REIT
CPLE3;COPEL
CPLE5;COPEL
